date, pm25, pm10, o3, no2, so2, co
2020/3/19, 35, , 43, , 2, 3
2020/3/20, 36, , 51, , 3, 3
2020/3/21, 20, , 34, , 1, 3
2020/3/22, 25, , 37, , 1, 2
2020/3/23, 34, , 41, , 2, 2
2020/3/24, 47, , 45, , 4, 2
2020/3/25, 66, , 58, , 4, 3
2020/3/26, 80, , 47, , 5, 4
2020/3/27, 42, , 51, , 3, 3
2020/3/28, 34, , 41, , 3, 3
2020/3/29, 23, , 43, , 4, 3
2020/3/30, 34, , , , 22, 3
2019/10/2, 69, , 48, , 11, 4
2019/10/3, 54, , 36, , 14, 5
2019/10/4, 51, , 51, , 6, 5
2019/10/5, 53, , 51, , 8, 5
2019/10/6, 47, , 48, , 6, 3
2019/10/7, 37, , 36, , 11, 5
2019/10/8, 42, , 29, , 13, 6
2019/10/9, 70, , 55, , 9, 5
2019/10/10, 59, , 38, , 9, 5
2019/10/11, 56, , 39, , 5, 5
2019/10/12, 56, , 48, , 7, 4
2019/10/13, 70, , 41, , 6, 5
2019/10/14, 70, , 47, , 5, 4
2019/10/15, 44, , 36, , 5, 5
2019/10/16, 49, , 43, , 5, 4
2019/10/17, 49, , 55, , 8, 7
2019/10/18, 61, , 59, , 7, 7
2019/10/19, 69, , 4, , 7, 7
2019/10/20, 58, , , , , 
2019/10/23, 39, , 43, , 7, 6
2019/10/24, 36, , 36, , 9, 8
2019/10/25, 49, , 32, , 14, 9
2019/10/26, 67, , 28, , 12, 8
2019/10/27, 61, , 47, , 8, 6
2019/10/28, 43, , 41, , 6, 5
2019/10/29, 38, , 46, , 11, 5
2019/10/30, 43, , 25, , 9, 6
2019/10/31, 47, , 51, , 10, 6
2019/11/1, 54, , 65, , 6, 6
2019/11/2, 47, , 62, , 5, 5
2019/11/3, 35, , 57, , 4, 5
2019/11/4, 47, , 52, , 4, 4
2019/11/5, 36, , 48, , 5, 6
2019/11/6, 43, , 57, , 4, 7
2019/11/7, 46, , 38, , 7, 8
2019/11/8, 54, , 45, , 5, 5
2019/11/9, 43, , 39, , 3, 5
2019/11/10, 42, , 49, , 4, 6
2019/11/11, 45, , 32, , 3, 6
2019/11/12, 39, , 40, , 3, 5
2019/11/13, 45, , 32, , 2, 5
2019/11/14, 33, , 39, , 2, 5
2019/11/15, 35, , 25, , 2, 5
2019/11/16, 33, , 36, , 3, 4
2019/11/17, 32, , 42, , 2, 4
2019/11/18, 29, , 36, , 6, 7
2019/11/19, 50, , 38, , 6, 5
2019/11/20, 48, , 52, , 5, 6
2019/11/21, 51, , 45, , 3, 5
2019/11/22, 33, , 52, , 2, 5
2019/11/23, 37, , 56, , 3, 6
2019/11/24, 48, , 52, , 6, 6
2019/11/25, 52, , 32, , 5, 5
2019/11/26, 34, , 25, , 7, 4
2019/11/27, 49, , 24, , 4, 4
2019/11/28, 46, , 30, , 4, 5
2019/11/29, 44, , 44, , 3, 4
2019/11/30, 57, , 47, , 2, 5
2019/12/1, 39, , 43, , 3, 7
2019/12/2, 42, , 46, , 6, 7
2019/12/3, 58, , 50, , 6, 6
2019/12/4, 56, , 42, , 7, 7
2019/12/5, 58, , 44, , 6, 7
2019/12/6, 48, , 51, , 4, 6
2019/12/7, 50, , 44, , 3, 5
2019/12/8, 32, , 47, , 3, 5
2019/12/9, 29, , 45, , 8, 7
2019/12/10, 44, , 49, , 4, 5
2019/12/11, 42, , 52, , 5, 5
2019/12/12, 36, , 41, , 4, 6
2019/12/13, 37, , 52, , 5, 6
2019/12/14, 56, , 54, , 5, 6
2019/12/15, 63, , 49, , 5, 7
2019/12/16, 72, , 25, , 4, 5
2019/12/17, 18, , 50, , 6, 6
2019/12/18, 51, , 35, , 8, 7
2019/12/19, 46, , 33, , 8, 6
2019/12/20, 53, , 34, , 4, 5
2019/12/21, 50, , 35, , 6, 7
2019/12/22, 58, , 29, , 4, 5
2019/12/23, 40, , 32, , 4, 5
2019/7/2, 38, , 30, , 6, 6
2019/7/3, 51, , 44, , 7, 6
2019/7/4, 59, , 30, , 6, 6
2019/7/5, 53, , 26, , 6, 5
2019/7/6, 45, , 24, , 4, 7
2019/7/7, 46, , 25, , 3, 5
2019/7/8, 32, , 25, , 2, 5
2019/7/9, 38, , 31, , 4, 6
2019/7/10, 43, , 38, , 6, 6
2019/7/11, 43, , 40, , 5, 5
2019/7/12, 41, , 41, , 7, 6
2019/7/13, 61, , 31, , 6, 7
2019/7/14, 52, , 32, , 4, 5
2019/7/15, 36, , 36, , 2, 5
2019/7/16, 38, , 35, , 5, 7
2019/7/17, 44, , 35, , 5, 7
2019/7/18, 45, , 32, , 4, 7
2019/7/19, 38, , 35, , 4, 7
2019/7/20, 42, , 31, , 4, 6
2019/7/21, 36, , 31, , 4, 6
2019/7/22, 41, , 34, , 7, 6
2019/7/23, 44, , 27, , 6, 7
2019/7/24, 70, , 37, , 2, 5
2019/7/25, 42, , 27, , 6, 7
